1,7.4462,8.0409,8.0475
2,6.5328,7.3473,7.4577
3,5.8111,5.8685,5.8389
4,5.2241,4.1785,3.9348
5,4.7341,2.7749,2.5091
6,4.3166,1.7989,1.6676
7,3.9551,1.174,1.1764
8,3.6381,0.77957,0.85175
9,3.3574,0.52576,0.61181
10,3.107,0.3585,0.43026
11,2.8821,0.24659,0.29835
12,2.6792,0.1713,0.20804
13,2.4951,0.1206,0.14858
14,2.3276,0.086391,0.10909
15,2.1747,0.063157,0.081532
16,2.0347,0.04717,0.061444
17,1.9063,0.035941,0.046725
18,1.7882,0.027838,0.036185
19,1.6793,0.021814,0.028735
20,1.5789,0.017207,0.023233
21,1.4861,0.013609,0.018707
22,1.4002,0.010766,0.014649
23,1.3206,0.0085122,0.01106
24,1.2467,0.0067323,0.0081892
25,1.1781,0.0053377,0.0061988
26,1.1143,0.0042553,0.0049982
27,1.0549,0.0034224,0.0043143
28,0.99949,0.0027849,0.0038566
29,0.94785,0.0022971,0.0034349
30,0.89962,0.0019217,0.0029825
31,0.85455,0.0016292,0.0025159
32,0.81239,0.0013975,0.0020801
33,0.77292,0.0012104,0.001711
34,0.73592,0.0010566,0.0014213
35,0.70122,0.00092805,0.0012037
36,0.66865,0.00081899,0.0010404
37,0.63805,0.00072545,0.00091196
38,0.60927,0.00064447,0.00080331
39,0.58219,0.00057386,0.00070524
40,0.55668,0.00051194,0.0006139
41,0.53264,0.0004574,0.00052899
42,0.50996,0.00040919,0.00045185
43,0.48855,0.0003665,0.00038404
44,0.46833,0.00032863,0.00032644
45,0.44921,0.00029504,0.00027899
46,0.43112,0.00026523,0.00024081
47,0.41399,0.0002388,0.00021044
48,0.39777,0.00021537,0.00018617
49,0.38238,0.00019462,0.00016638
50,0.36779,0.00017626,0.00014968
51,0.35393,0.00016003,0.00013504
52,0.34077,0.00014569,0.00012179
53,0.32826,0.00013302,0.00010959
54,0.31636,0.00012184,9.833e-05
55,0.30504,0.00011196,8.8049e-05
56,0.29426,0.00010325,7.8853e-05
57,0.28398,9.5548e-05,7.0844e-05
58,0.27419,8.8742e-05,6.4073e-05
59,0.26484,8.2718e-05,5.8525e-05
60,0.25592,7.7377e-05,5.4109e-05
61,0.2474,7.2629e-05,5.0679e-05
62,0.23926,6.8398e-05,4.8046e-05
63,0.23148,6.4614e-05,4.6008e-05
64,0.22404,6.1215e-05,4.4369e-05
65,0.21692,5.8149e-05,4.2957e-05
66,0.2101,5.5368e-05,4.1636e-05
67,0.20357,5.2834e-05,4.0314e-05
68,0.19731,5.0511e-05,3.8939e-05
69,0.19131,4.8371e-05,3.7494e-05
70,0.18555,4.6389e-05,3.5992e-05
71,0.18003,4.4545e-05,3.4461e-05
72,0.17472,4.282e-05,3.294e-05
73,0.16963,4.1201e-05,3.1466e-05
74,0.16473,3.9676e-05,3.0071e-05
75,0.16003,3.8235e-05,2.8775e-05
76,0.1555,3.6871e-05,2.7589e-05
77,0.15115,3.5576e-05,2.6511e-05
78,0.14696,3.4346e-05,2.5531e-05
79,0.14292,3.3175e-05,2.4633e-05
80,0.13904,3.206e-05,2.3797e-05
81,0.13529,3.0997e-05,2.3006e-05
82,0.13168,2.9984e-05,2.2243e-05
83,0.1282,2.9019e-05,2.1498e-05
